Census House Number,Main Material of Floor,Main Material of Walls,Main Material of Ceiling,Building Usage,Condition of Building,Number of People,Name of Head of Family,Gender,Rooms in House,Married Pairs,Drinking Water Source,Location of Water Sources,Light Source,Sanitation Facilities,Rest Room,Sewage Flow,In Premises Bathing Facilities,Cooking Gas,Cooking Fuel,Radio Transmitter,TV,Internet Connection,Laptop / Computer,Transportation Mode,Primary Consumed Food,Phone Number
111,Cement,Soil/Mud,Asbestos Sheets,House,Non Livable,2,Vasantha Padmashali,Female,1,0,Hand pump,In premises,Solar power,Usage only for family,Yes,Septic tank,Bathroom,N/A,Biogas,Smartphone,DTH connection,Yes,No,Car,Dal Rice,6429401965
112,Tiles/Bricks,Cement,Polythene,Rent,Livable,7,Priya Uppara,Female,2,2,Other sources,Community,Kerosene,Shared by community,No,Septic tank,Bathroom,LPG/PNG,Electricity,Smartphone,Cable connection,No,No,Bike,Rice and Dal,8823662994
113,Stone-slab flooring,Stones,Concrete,House,Livable,10,Peddi Reddy,Male,6,3,Hand pump,In range of 500m,Any other,Shared by community,No,Septic tank,No roof,LPG/PNG,Cow dung cakes,N/A,DTH connection,No,No,Cycle,Wheat Roti and Sabzi,6769367632
114,Cement,Mosaic / Vitrified tiles,Burnt Bricks,School,Livable,8,Lakshmi Yadav,Female,1,0,Purified water,Community,Electricity,Shared by community,Yes,N/A,Bathroom,N/A,Electricity,Smartphone,DTH connection,No,No,Bike,Rice and Sambar,8873471434
115,Tiles/Bricks,Stones,Asbestos Sheets,House,Livable,12,Raghu Gupta,Male,6,1,Hand pump,In premises,Solar power,Usage only for family,No,N/A,Bathroom,N/A,Cow dung cakes,Smartphone,DTH connection,No,No,N/A,Millets,7734670656
116,Cement,Cement,Penkulu,Empty,Livable,0,N/A,N/A,2,0,Hand pump,In range of 500m,Electricity,Usage only for family,Yes,N/A,Bathroom,N/A,N/A,N/A,N/A,No,No,N/A,N/A,7719374529
117,Mosaic / Vitrified tiles,Tiles/Bricks,Concrete,House,Livable,11,Radha Pawar,Female,4,3,Packaged water,In premises,Kerosene,Usage only for family,No,N/A,No roof,LPG/PNG,Wood,Smartphone,DTH connection,Yes,No,Cycle,Rice and Dal,9165726284
118,Cement,Cement,Mud,House,Non Livable,10,Tulasi Erukala,Female,3,2,Other sources,In premises,Electricity,Shared by community,Yes,Septic tank,N/A,LPG/PNG,Electricity,Smartphone,N/A,Yes,No,Bike,Rice,7136783777
119,Cement,Cement,Concrete,House,Livable,5,Kavitha Balija,Female,2,1,Packaged water,In premises,Kerosene,Usage only for family,Yes,Septic tank,Bathroom,LPG/PNG,Electricity,Smartphone,DTH connection,Yes,No,N/A,Rice and Pickle,8134352408
120,Mosaic / Vitrified tiles,Cement,Concrete,Rent,Livable,3,Ramesh Sharma,Male,1,1,Hand pump,In premises,Electricity,Walkable distance,Yes,N/A,Bathroom,LPG/PNG,Solar cooker,Radio,Other,Yes,No,N/A,Rice,9999386774
121,Tiles/Bricks,Tiles/Bricks,Concrete,Rent,Livable,12,Aruna Boya,Female,7,0,Purified water,In premises,Electricity,Usage only for family,Yes,Rings,Bathroom,LPG/PNG,Biogas,Smartphone,Cable connection,Yes,No,N/A,Rice and Vegetables,7618324210
122,Cement,Cement,Other materials,Empty,Livable,0,N/A,N/A,2,0,Hand pump,Community,Electricity,Usage only for family,No,N/A,Bathroom,N/A,Wood,N/A,N/A,No,No,N/A,N/A,9565512567
123,Mosaic / Vitrified tiles,Mosaic / Vitrified tiles,Polythene,House,Livable,6,Madhavi Rao,Female,4,0,Packaged water,Community,Electricity,Shared by community,No,Rings,Bathroom,LPG/PNG,Electricity,Smartphone,N/A,Yes,No,Cycle,Rice and Vegetables,7248086131
124,Mosaic / Vitrified tiles,Other materials,Asbestos Sheets,House,Livable,9,Anil Goud,Male,4,2,Hand pump,In premises,No sunlight,Shared by community,No,N/A,Bathroom,N/A,Grass (dry),N/A,N/A,No,No,Car,Wheat Roti and Sabzi,9278755886
125,Tiles/Bricks,Mosaic / Vitrified tiles,Mud,Empty,Livable,0,N/A,N/A,2,0,Packaged water,Community,Solar power,Usage only for family,Yes,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,9158657809
126,Cement,Tiles/Bricks,Stone,Shop,Livable,2,Nirmala Velama,Female,6,0,Well,In premises,Electricity,Usage only for family,Yes,Septic tank,Bathroom,LPG/PNG,Solar cooker,Smartphone,Cable connection,Yes,No,ATB,Roti and Dal,7374740748
127,Cement,Stones,Asbestos Sheets,Empty,Livable,0,N/A,N/A,2,0,Other sources,In range of 500m,Electricity,Usage only for family,No,N/A,No roof,N/A,Wood,N/A,N/A,No,No,N/A,N/A,6047095214
128,Tiles/Bricks,Mosaic / Vitrified tiles,Concrete,Devotional Place,Livable,5,Vijay Dasari,Male,2,0,Packaged water,Community,Electricity,Usage only for family,No,Septic tank,N/A,N/A,Cow dung cakes,N/A,N/A,No,No,Cycle,Millets,9549651370
129,Cement,Stones,Concrete,Empty,Livable,0,N/A,N/A,1,0,Hand pump,In premises,Electricity,Usage only for family,Yes,N/A,Bathroom,N/A,Wood,N/A,N/A,No,No,N/A,N/A,7515850643
130,Soil/Mud,Mosaic / Vitrified tiles,Asbestos Sheets,House,Livable,3,Mahesh Naidu,Male,1,1,Well,In range of 500m,Electricity,Usage only for family,No,Septic tank,N/A,LPG/PNG,Kerosene,Smartphone,Cable connection,Yes,Yes,Cycle,Rice and Sambar,7950240268
131,Cement,Mosaic / Vitrified tiles,Mud,House,Livable,10,Srinivas Erukala,Male,4,0,Packaged water,In range of 500m,Electricity,Usage only for family,No,Septic tank,Bathroom,LPG/PNG,Solar cooker,Smartphone,DTH connection,No,No,Cycle,Wheat,8698478961
132,Cement,Mosaic / Vitrified tiles,Concrete,Shop,Livable,8,Sujatha Nayak,Female,2,0,River,In premises,Electricity,Usage only for family,No,Rings,Bathroom,LPG/PNG,Cow dung cakes,Smartphone,DTH connection,Yes,Yes,Cycle,Khichdi,8165604945
133,Tiles/Bricks,Tiles/Bricks,Asbestos Sheets,House,Livable,2,Sai Kamma,Male,2,0,Hand pump,Community,Solar power,Shared by community,No,Rings,No roof,LPG/PNG,Solar cooker,Radio,N/A,No,No,Bike,Rice,9120183667
134,Soil/Mud,Cement,Polythene,Shop,Non Livable,2,Naresh Boya,Male,1,0,Purified water,In premises,Electricity,Shared by community,Yes,Septic tank,Bathroom,LPG/PNG,Kerosene,Smartphone,Cable connection,Yes,No,Bike,Wheat Roti and Sabzi,6034324451
135,Cement,Cement,Asbestos Sheets,House,Livable,12,Madhu Uppara,Male,5,1,Well,Community,Electricity,Usage only for family,Yes,Septic tank,Bathroom,LPG/PNG,Solar cooker,Smartphone,N/A,Yes,Yes,N/A,Roti and Dal,8161369681
136,Stone-slab flooring,Soil/Mud,Asbestos Sheets,House,Non Livable,2,Kiran Madiga,Male,1,0,Well,In range of 500m,Electricity,Usage only for family,Yes,Septic tank,Bathroom,LPG/PNG,Biogas,Radio,N/A,No,No,Car,Jowar Roti,8527177449
137,Soil/Mud,Mosaic / Vitrified tiles,Concrete,House,Livable,1,Sai Kumar,Male,2,0,Hand pump,Community,Electricity,Shared by community,No,N/A,Bathroom,N/A,Cow dung cakes,Smartphone,DTH connection,Yes,Yes,Cycle,Idli and Rice,8182037788
138,Cement,Soil/Mud,Concrete,Empty,Livable,0,N/A,N/A,2,0,Well,In premises,Electricity,Usage only for family,Yes,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,8054235733
139,Cement,Mosaic / Vitrified tiles,Concrete,Rent,Livable,12,Thirupathi Yadav,Male,1,4,Hand pump,In premises,Electricity,Shared by community,No,N/A,No roof,LPG/PNG,Electricity,Smartphone,Cable connection,No,No,Bike,Wheat,9359774688
140,Cement,Mosaic / Vitrified tiles,Concrete,School,Livable,5,Prakash Mudiraj,Male,1,0,Purified water,In range of 500m,Solar power,Usage only for family,No,Septic tank,N/A,LPG/PNG,Electricity,N/A,Cable connection,No,Yes,Cycle,Roti and Dal,7615305152
141,Cement,Mosaic / Vitrified tiles,Mud,Shop,Livable,8,Mohan Erukala,Male,4,0,Well,In premises,No sunlight,Shared by community,Yes,N/A,Bathroom,LPG/PNG,Electricity,Smartphone,DTH connection,Yes,No,Bike,Millets,7246095396
142,Mosaic / Vitrified tiles,Cement,Mud,Rent,Livable,9,Raju Gupta,Male,5,3,Packaged water,In premises,Electricity,Usage only for family,No,Septic tank,Bathroom,LPG/PNG,Solar cooker,Smartphone,Other,Yes,Yes,Bike,Rice and Dal,7772217043
143,Tiles/Bricks,Mosaic / Vitrified tiles,Stone,House,Livable,7,Satish Rao,Male,4,2,Well,In range of 500m,Solar power,Usage only for family,Yes,Septic tank,N/A,N/A,Electricity,Smartphone,Cable connection,No,No,Car,Chapati,9169284511
144,Cement,Cement,Other materials,House,Livable,3,Mohan Boya,Male,2,1,Hand pump,In premises,Electricity,Walkable distance,Yes,Rings,Bathroom,LPG/PNG,Biogas,Smartphone,Other,Yes,No,Bike,Rice,7556909275
145,Tiles/Bricks,Tiles/Bricks,Concrete,Rent,Livable,7,Yellaiah Kumar,Male,3,2,Hand pump,In premises,Electricity,Usage only for family,Yes,Septic tank,N/A,LPG/PNG,Biogas,Smartphone,N/A,Yes,No,N/A,Rice and Dal,6551884422
146,Soil/Mud,Cement,Asbestos Sheets,House,Livable,3,Anjali Velama,Female,2,1,Packaged water,Community,Electricity,Usage only for family,Yes,N/A,No roof,LPG/PNG,Biogas,N/A,N/A,Yes,No,Bike,Jowar Roti,8289226801
147,Cement,Cement,Mud,Empty,Broken,0,N/A,N/A,3,0,Hand pump,Community,Electricity,Usage only for family,Yes,N/A,Bathroom,N/A,N/A,N/A,N/A,No,No,N/A,N/A,9844736471
148,Other materials,Tiles/Bricks,Asbestos Sheets,House,Livable,6,Venu Vaddera,Male,3,2,Hand pump,In premises,Electricity,Usage only for family,Yes,Septic tank,Bathroom,LPG/PNG,Solar cooker,Smartphone,DTH connection,No,No,Bike,Rice and Sambar,9877470168
149,Mosaic / Vitrified tiles,Cement,Concrete,Rent,Livable,5,Kishore Kamma,Male,3,1,Hand pump,In range of 500m,Electricity,Walkable distance,No,N/A,Bathroom,LPG/PNG,Solar cooker,Smartphone,DTH connection,Yes,No,N/A,Wheat,6216558523
150,Cement,Stones,Concrete,House,Livable,12,Shanthi Jangam,Female,7,2,Hand pump,In premises,Electricity,Usage only for family,No,Rings,Bathroom,LPG/PNG,Biogas,Smartphone,DTH connection,Yes,No,Bike,Jowar Roti,9940974993
151,Mosaic / Vitrified tiles,Tiles/Bricks,Concrete,House,Livable,10,Sarojini Erukala,Female,2,3,River,In premises,Electricity,Usage only for family,Yes,Septic tank,Bathroom,LPG/PNG,Electricity,N/A,N/A,No,No,N/A,Roti and Dal,9527858549
152,Tiles/Bricks,Cement,Asbestos Sheets,Rent,Livable,5,Kishore Kapu,Male,3,1,Well,In range of 500m,Solar power,Usage only for family,Yes,Rings,Bathroom,N/A,Kerosene,N/A,DTH connection,No,No,Bike,Rice and Dal,8733848421
153,Soil/Mud,Stones,Concrete,House,Livable,9,Sarojini Padmashali,Female,2,1,Purified water,In range of 500m,Electricity,Shared by community,No,Septic tank,N/A,N/A,Grass (dry),Smartphone,DTH connection,No,No,Cycle,Rice and Vegetables,6262067240
154,Other materials,Cement,Concrete,Empty,Livable,0,N/A,N/A,2,0,Other sources,In range of 500m,Electricity,Usage only for family,Yes,N/A,Bathroom,N/A,Wood,N/A,N/A,No,No,N/A,N/A,7046374549
155,Cement,Mosaic / Vitrified tiles,Concrete,Shop,Livable,3,Bharathi Sharma,Female,4,0,Packaged water,Community,Electricity,Walkable distance,Yes,Septic tank,N/A,LPG/PNG,Electricity,N/A,N/A,No,No,N/A,Chapati,7918785191
156,Tiles/Bricks,Tiles/Bricks,Concrete,House,Livable,3,Jagadish Jangam,Male,2,1,Purified water,Community,Solar power,Usage only for family,Yes,Rings,Bathroom,LPG/PNG,Biogas,Smartphone,Other,Yes,No,Car,Rice,8180170462
157,Soil/Mud,Other materials,Asbestos Sheets,House,Non Livable,8,Pochamma Golla,Female,4,2,Purified water,In range of 500m,Electricity,Walkable distance,Yes,Septic tank,N/A,N/A,Cow dung cakes,N/A,N/A,No,No,Bike,Roti and Dal,7431069033
158,Stones,Tiles/Bricks,Asbestos Sheets,House,Livable,1,Shiva Rao,Male,1,0,Packaged water,In premises,Electricity,Usage only for family,No,Rings,Bathroom,LPG/PNG,Solar cooker,Smartphone,DTH connection,Yes,No,Bike,Wheat,6892687056
159,Tiles/Bricks,Tiles/Bricks,Concrete,House,Livable,3,Priya Golla,Female,2,1,Purified water,Community,Electricity,Usage only for family,Yes,Rings,Bathroom,LPG/PNG,Electricity,Radio,DTH connection,No,No,Cycle,Rice and Dal,6139837354
160,Cement,Stones,Stone,Empty,Broken,0,N/A,N/A,2,0,Well,In premises,Electricity,Usage only for family,No,N/A,Bathroom,N/A,Wood,N/A,N/A,No,No,N/A,N/A,8235369378
161,Cement,Tiles/Bricks,Concrete,House,Non Livable,6,Renuka Thogata,Female,2,1,Hand pump,Community,Electricity,Usage only for family,No,N/A,No roof,N/A,Grass (dry),N/A,N/A,No,No,Bike,Rice and Vegetables,9700886008
162,Soil/Mud,Soil/Mud,Mud,House,Non Livable,11,Tulasi Balija,Female,2,3,Well,Community,Solar power,Usage only for family,Yes,Septic tank,Bathroom,LPG/PNG,Biogas,Smartphone,Other,Yes,No,N/A,Rice and Sambar,6666870021
163,Soil/Mud,Cement,Asbestos Sheets,Rent,Non Livable,2,Murali Madiga,Male,1,0,Hand pump,In premises,No sunlight,Shared by community,Yes,Rings,No roof,LPG/PNG,Biogas,Radio,Doordarshan,No,No,N/A,Wheat,7968562185
164,Soil/Mud,Tiles/Bricks,Other materials,Hotel,Livable,7,Murali Velama,Male,3,0,Hand pump,In premises,No sunlight,Usage only for family,No,Rings,Bathroom,LPG/PNG,Biogas,Smartphone,DTH connection,Yes,No,ATB,Rice and Fish,8511047541
165,Tiles/Bricks,Cement,Concrete,House,Livable,7,Naveen Uppara,Male,1,0,Packaged water,In range of 500m,Electricity,Usage only for family,No,Rings,No roof,N/A,Wood,Smartphone,DTH connection,Yes,Yes,Bike,Rice,7646471543
166,Mosaic / Vitrified tiles,Stone-slab flooring,Concrete,House,Livable,1,Renuka Mudiraj,Female,2,0,Hand pump,In premises,Solar power,Shared by community,Yes,Septic tank,No roof,N/A,Grass (dry),Smartphone,DTH connection,Yes,No,ATB,Rice and Pickle,7564651939
167,Cement,Cement,Polythene,House,Non Livable,12,Naresh Nayak,N/A,4,1,Packaged water,In range of 500m,Kerosene,Usage only for family,Yes,Septic tank,Bathroom,LPG/PNG,Electricity,Smartphone,Cable connection,Yes,No,N/A,Rice and Curry,9805891135
168,Other materials,Stones,Mud,Rent,Livable,11,Lakshman Rao,Male,3,3,Well,Community,Electricity,Shared by community,Yes,Septic tank,Bathroom,N/A,Cow dung cakes,Smartphone,Doordarshan,Yes,Yes,Bike,Khichdi,6254573875
169,Mosaic / Vitrified tiles,Cement,Concrete,House,Livable,12,Pavan Kummari,Male,1,0,Purified water,In range of 500m,Electricity,Usage only for family,Yes,Rings,N/A,LPG/PNG,Electricity,Smartphone,DTH connection,Yes,Yes,Car,Rice,9603341918
170,Cement,Cement,Concrete,House,Livable,8,Ashok Mudiraj,Male,3,2,Well,In range of 500m,Electricity,Walkable distance,No,Septic tank,No roof,LPG/PNG,Kerosene,Smartphone,DTH connection,Yes,No,Car,Rice and Dal,7966278282
171,Cement,Tiles/Bricks,Concrete,House,Livable,1,Vijay Setty,Male,1,0,Hand pump,Community,Electricity,Usage only for family,No,Septic tank,Bathroom,LPG/PNG,Biogas,Smartphone,DTH connection,Yes,Yes,N/A,Millets,9881914858
172,Stones,Soil/Mud,Other materials,Empty,Broken,0,N/A,N/A,3,0,Hand pump,In premises,Solar power,Usage only for family,Yes,N/A,Bathroom,N/A,N/A,N/A,N/A,No,No,N/A,N/A,8494812604
173,Soil/Mud,Stones,Stone,Hotel,Non Livable,7,Apparao Lambadi,Male,4,0,Well,In premises,Solar power,Shared by community,Yes,Rings,No roof,N/A,Grass (dry),Smartphone,N/A,Yes,No,Cycle,Rice and Pickle,8186363745
174,Soil/Mud,Cement,Concrete,Rent,Livable,8,Swathi Nayak,Female,1,2,Purified water,In range of 500m,Electricity,Usage only for family,No,Septic tank,N/A,N/A,Electricity,Smartphone,N/A,No,No,Cycle,Jowar Roti,7064361103
175,Mosaic / Vitrified tiles,Other materials,Concrete,House,Livable,1,Vijay Pawar,Male,2,0,Purified water,In premises,Electricity,Shared by community,Yes,Septic tank,N/A,LPG/PNG,Biogas,Smartphone,N/A,Yes,Yes,Car,Rice,7753269731
176,Tiles/Bricks,Cement,Asbestos Sheets,Rent,Livable,7,Vijaya Singh,Female,2,2,Hand pump,Community,Electricity,Walkable distance,Yes,N/A,N/A,LPG/PNG,Solar cooker,Smartphone,Cable connection,Yes,No,N/A,Wheat,9137918055
177,Soil/Mud,Tiles/Bricks,Asbestos Sheets,House,Livable,3,Peddi Rathod,Male,1,1,Purified water,In premises,Solar power,Shared by community,No,Rings,Bathroom,N/A,Wood,Smartphone,DTH connection,Yes,No,Car,Rice,7856914630
178,Soil/Mud,Tiles/Bricks,Mud,House,Livable,5,Murali Singh,Male,1,1,Hand pump,In premises,Electricity,Walkable distance,Yes,Septic tank,No roof,N/A,Cow dung cakes,Smartphone,DTH connection,No,No,Bike,Rice and Pickle,6778507925
179,Mosaic / Vitrified tiles,Soil/Mud,Concrete,Devotional Place,Livable,2,Mallesh Yadav,Male,2,0,Purified water,In premises,Electricity,Walkable distance,Yes,N/A,Bathroom,N/A,Cow dung cakes,Smartphone,DTH connection,Yes,No,Bike,Chapati,8180238061
180,Tiles/Bricks,Mosaic / Vitrified tiles,Concrete,House,Livable,1,Nirmala Boya,Female,1,0,Well,In premises,Any other,Walkable distance,No,Rings,Bathroom,N/A,Wood,N/A,Cable connection,Yes,No,ATB,Rice,8064138367
181,Tiles/Bricks,Stones,Burnt Bricks,House,Broken,9,Manga Kapu,Female,3,3,Hand pump,Community,Electricity,Shared by community,Yes,Rings,Bathroom,LPG/PNG,Biogas,N/A,N/A,No,No,Bike,Dal Rice,7912127756
182,Mosaic / Vitrified tiles,Tiles/Bricks,Concrete,House,Livable,2,Santosh Kamma,Male,1,0,Hand pump,In premises,Solar power,Usage only for family,No,N/A,Bathroom,LPG/PNG,Electricity,N/A,N/A,Yes,No,Car,Millets,6712100323
183,Tiles/Bricks,Cement,Concrete,Rent,Livable,2,Rajeshwari Gupta,Female,1,0,Purified water,In range of 500m,Solar power,Usage only for family,No,Septic tank,N/A,LPG/PNG,Biogas,Smartphone,DTH connection,Yes,No,N/A,Wheat,9209993476
184,Cement,Mosaic / Vitrified tiles,Concrete,House,Livable,7,Kalyani Sharma,Female,2,1,Other sources,In range of 500m,Electricity,Shared by community,Yes,N/A,Bathroom,LPG/PNG,Electricity,Smartphone,N/A,Yes,No,Cycle,Wheat Roti and Sabzi,8932133480
185,Soil/Mud,Stones,Asbestos Sheets,Hospital,Non Livable,6,Geetha Rathod,Female,2,0,River,In range of 500m,Electricity,Shared by community,No,Rings,No roof,LPG/PNG,Biogas,N/A,DTH connection,No,Yes,Bike,Rice,9059325250
186,Tiles/Bricks,Mosaic / Vitrified tiles,Penkulu,School,Non Livable,6,Krishna Goud,Male,1,0,Purified water,In premises,Electricity,Usage only for family,No,N/A,N/A,LPG/PNG,Electricity,N/A,N/A,No,No,Car,Rice,8422096902
187,Mosaic / Vitrified tiles,Tiles/Bricks,Other materials,Rent,Livable,8,Mahalakshmi Velama,Female,3,1,Purified water,In range of 500m,Electricity,Shared by community,No,N/A,Bathroom,LPG/PNG,Electricity,Radio,Doordarshan,No,No,N/A,Rice and Pickle,9765861793
188,Tiles/Bricks,Stone-slab flooring,Concrete,House,Livable,2,Srinivas Rao,Male,2,0,Hand pump,In range of 500m,Electricity,Shared by community,Yes,Rings,Bathroom,N/A,Wood,N/A,Doordarshan,Yes,Yes,Bike,Bajra Roti,8443106987
189,Tiles/Bricks,Soil/Mud,Stone,House,Livable,11,Naresh Reddy,Male,4,3,Well,In premises,Solar power,Usage only for family,Yes,Rings,No roof,LPG/PNG,Electricity,Smartphone,DTH connection,No,No,Bike,Rice,8902115869
190,Mosaic / Vitrified tiles,Cement,Penkulu,Hotel,Livable,8,Venkatesh Mangali,Male,5,0,Other sources,Community,Electricity,Walkable distance,No,Rings,No roof,LPG/PNG,Biogas,Smartphone,N/A,No,No,Bike,Wheat Roti and Sabzi,9329451168
191,Stones,Tiles/Bricks,Penkulu,Empty,Broken,0,N/A,N/A,3,0,Hand pump,In premises,Electricity,Shared by community,No,N/A,No roof,N/A,Wood,N/A,N/A,No,No,N/A,N/A,8307450544
192,Soil/Mud,Tiles/Bricks,Stone,Empty,Broken,0,N/A,N/A,2,0,Well,In premises,Solar power,Shared by community,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,8786103579
193,Soil/Mud,Soil/Mud,Concrete,Rent,Livable,5,Kalyani Pawar,Female,2,0,Packaged water,In premises,Electricity,Usage only for family,Yes,Rings,Bathroom,N/A,Biogas,Smartphone,DTH connection,Yes,Yes,N/A,Rice,8466574374
194,Cement,Cement,Asbestos Sheets,Rent,Livable,11,Mahalakshmi Kuruma,Female,5,2,Purified water,In premises,Any other,Shared by community,No,Septic tank,No roof,N/A,Wood,Smartphone,N/A,No,No,Car,Jowar Roti,7074466609
195,Mosaic / Vitrified tiles,Mosaic / Vitrified tiles,Concrete,House,Livable,11,Ramadevi Mudiraj,Female,6,3,Hand pump,In range of 500m,Solar power,Walkable distance,Yes,Septic tank,Bathroom,LPG/PNG,Biogas,Smartphone,Cable connection,Yes,No,Cycle,Rice and Dal,8655494717
196,Tiles/Bricks,Cement,Concrete,Rent,Livable,8,Bhaskar Pawar,Male,5,1,Hand pump,In range of 500m,Electricity,Walkable distance,Yes,N/A,N/A,N/A,Wood,N/A,Doordarshan,Yes,No,N/A,Wheat,6074329271
197,Tiles/Bricks,Stones,Other materials,Empty,Broken,0,N/A,N/A,1,0,Other sources,In range of 500m,Electricity,Usage only for family,Yes,N/A,Bathroom,N/A,N/A,N/A,N/A,No,No,N/A,N/A,7260332309
198,Cement,Soil/Mud,Penkulu,House,Livable,9,Nagaraj Rao,Male,1,3,Packaged water,In premises,Electricity,Usage only for family,Yes,Septic tank,No roof,LPG/PNG,Solar cooker,Radio,Doordarshan,No,No,N/A,Rice and Dal,6891411739
199,Tiles/Bricks,Soil/Mud,Concrete,Empty,Livable,0,N/A,N/A,2,0,Well,In range of 500m,Electricity,Usage only for family,No,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,9110022557
200,Cement,Cement,Concrete,House,Livable,8,Deepak Setty,Male,4,2,Other sources,In premises,Electricity,Shared by community,No,N/A,Bathroom,N/A,Grass (dry),Smartphone,Cable connection,Yes,No,Car,Rice and Curry,7771670145
201,Mosaic / Vitrified tiles,Cement,Concrete,Shop,Livable,4,Ramana Budiga,Male,6,0,Hand pump,In premises,Kerosene,Usage only for family,No,Rings,Bathroom,N/A,Electricity,Smartphone,N/A,Yes,No,Bike,Roti and Dal,7175354083
202,Cement,Mosaic / Vitrified tiles,Concrete,Hotel,Livable,8,Nagamani Kuruma,Female,5,0,Purified water,Community,Kerosene,Usage only for family,Yes,Rings,Bathroom,LPG/PNG,Solar cooker,Smartphone,Cable connection,Yes,Yes,ATB,Dal Rice,8037589975
203,Mosaic / Vitrified tiles,Mosaic / Vitrified tiles,Asbestos Sheets,Shop,Livable,6,Sujatha Yadav,Female,3,0,Hand pump,Community,Electricity,Usage only for family,Yes,Rings,No roof,LPG/PNG,Solar cooker,Smartphone,DTH connection,No,No,N/A,Rice,9091779827
204,Mosaic / Vitrified tiles,Mosaic / Vitrified tiles,Concrete,Rent,Livable,10,Madhu Sharma,Male,5,3,Purified water,In range of 500m,Electricity,Shared by community,Yes,Septic tank,N/A,LPG/PNG,Solar cooker,Smartphone,DTH connection,Yes,No,Bike,Chapati,7698485833
205,Stones,Other materials,Penkulu,Empty,Broken,0,N/A,N/A,3,0,River,In premises,Electricity,Usage only for family,No,N/A,No roof,N/A,N/A,N/A,N/A,No,No,N/A,N/A,6571983863
206,Soil/Mud,Stones,Mud,Empty,Broken,0,N/A,N/A,3,0,Packaged water,In range of 500m,Electricity,Usage only for family,Yes,N/A,Bathroom,N/A,Wood,N/A,N/A,No,No,N/A,N/A,7940572025
